STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,TRANSFORMATION,Transformation,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2000,,9.814491019,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2001,,5.830347911,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2002,,7.114559412,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2003,,6.946079701,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2004,,6.545341451,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2005,,9.362743855,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2006,,9.668961734,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2007,,6.910826564,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2008,,-4.519340992,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2009,,-13.77309549,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2010,,1.695715308,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2011,,6.993439972,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2012,,2.862620384,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2013,,1.067261577,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2014,,2.803192213,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2015,,2.244148731,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2016,,2.454460144,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2017,,4.694259584,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,EST,Estonia,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2018,,3.624868333,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2000,,5.985114694,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2001,,2.44244796,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2002,,1.843087107,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2003,,1.740511805,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2004,,4.218291461,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2005,,3.690969765,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2006,,3.750734031,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2007,,5.470985979,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2008,,1.683617771,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2009,,-7.093405843,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2010,,3.08460917,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2011,,3.529613256,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2012,,-0.913927794,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2013,,-0.798396118,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2014,,-0.048953921,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2015,,1.196027577,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2016,,2.335713357,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2017,,3.567876995,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FIN,Finland,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2018,,1.750604659,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2000,,4.277552217,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2001,,2.273559332,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2002,,1.757837176,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2003,,1.026381612,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2004,,3.260115623,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
