"ID","China","Estonia","Finland","France","Germany","India","Italy","Latvia","New.Zealand","Norway","Poland","Portugal","Spain","Sweden","Switzerland"
2000,5.672,2.175,2.338,1.741,1.967,1.764,2.166,2.058,2.127,2.316,1.768,2.175,3.057,2.526,1.465
2001,5.451,1.987,2.351,1.667,1.932,1.8,2.194,2.056,2.106,2.264,1.719,2.132,3.01,2.411,1.49
2002,5.293,1.959,2.269,1.663,1.897,1.805,2.239,1.941,2.107,2.216,1.711,2.123,2.876,2.396,1.498
2003,4.491,2.381,2.246,1.617,1.853,1.885,2.222,1.867,2.118,2.167,1.823,2.079,2.805,2.405,1.491
2004,4.7,2.352,2.341,1.603,1.944,1.958,2.194,2.155,2.144,2.148,1.96,2.034,2.703,2.44,1.482
2005,4.768,2.246,2.253,1.644,2.013,1.998,2.276,2.132,2.192,2.242,1.888,2.137,2.709,2.399,1.459
2006,4.671,2.295,2.319,1.638,2.135,2.068,2.426,2.142,2.206,2.304,1.983,2.176,2.756,2.484,1.531
2007,4.672,2.264,2.261,1.645,2.149,2.108,2.387,2.3,2.261,2.355,2.034,2.157,2.663,2.452,1.556
2008,4.513,2.586,2.263,1.687,2.192,1.993,2.212,2.039,2.164,2.336,2.095,2.239,2.654,2.487,1.589
2009,3.881,2.355,2.321,1.667,2.138,2.054,1.997,2.032,2.04,2.289,1.93,2.014,2.55,2.479,1.651
2010,3.843,2.5,2.539,1.688,2.442,2.12,2.184,2.181,2.078,2.376,2.152,2.205,2.58,2.531,1.581
2011,3.264,2.562,2.479,1.761,2.52,2.112,2.264,2.219,2.129,2.379,2.268,2.264,2.599,2.586,1.599
2012,3.076,2.504,2.496,1.735,2.61,2.298,2.217,2.126,2.056,2.34,2.271,2.235,2.604,2.66,1.661
2013,3.529,2.532,2.479,1.69,2.547,2.147,2.172,1.89,2.028,2.334,2.24,2.264,2.478,2.546,1.658
2014,3.526,2.378,2.472,1.69,2.396,1.964,2.095,2.017,1.982,2.325,2.233,2.201,2.404,2.522,1.635
2015,3.47,2.382,2.302,1.613,2.584,2.15,1.981,2.203,1.891,2.239,2.175,2.116,2.354,2.53,1.614
2016,4.016,2.349,2.34,1.631,2.43,2.267,1.943,2.214,1.882,2.265,2.192,1.994,2.172,2.259,1.646
2017,4.195,2.323,2.495,1.65,2.477,2.19,2.085,2.252,1.835,2.204,2.332,2.103,2.313,2.301,1.658
2018,4.731,2.292,2.58,1.641,2.462,2.032,2.144,2.278,1.806,2.308,2.408,2.118,2.265,2.381,1.642
2019,4.778,2.213,2.521,1.606,2.45,2.021,2.007,2.075,1.908,2.34,2.32,2.116,2.243,2.301,1.645
