"year","EUR","CHN","US","NWZ","CHE","tasso_chf","tasso_nzd","tasso_cny","CHE_EUR","NWZ_EUR","CNY_EUR"
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,1.60034285714286,2.01453706563707,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,1.55785882352941,2.02878274509804,7.6167967611336,NA,NA,NA
2001,NA,NA,NA,NA,NA,1.51051811023622,2.13004409448819,7.41312440944882,NA,NA,NA
2002,NA,NA,NA,NA,NA,1.46702549019608,2.03655490196078,7.82651294117647,NA,NA,NA
2003,NA,NA,NA,NA,NA,1.52120078431373,1.94384470588235,9.36261254901961,NA,NA,NA
2004,NA,NA,NA,NA,NA,1.54382200772201,1.87309227799228,10.2966990694981,NA,NA,NA
2005,21.56,NA,NA,NA,NA,1.54828171206226,1.76595486381323,10.1955023346303,NA,NA,NA
2006,18.01,NA,NA,NA,NA,1.57287843137255,1.93731921568627,10.0095576470588,NA,NA,NA
2007,0.72,NA,NA,NA,NA,1.64271960784314,1.86272941176471,10.4178243137255,NA,NA,NA
2008,17.38,NA,NA,NA,NA,1.58739453125,2.076950390625,10.22361328125,NA,NA,NA
2009,13.15,NA,NA,20,NA,1.51001875,2.212125,9.527708203125,NA,9.04108040910889,NA
2010,14.34,NA,NA,19.61,NA,1.38034418604651,1.83773798449612,8.97123178294574,NA,10.6707268203833,NA
2011,12.94,NA,NA,16.93,NA,1.23260505836576,1.76002723735409,8.99599688715953,NA,9.61916931777232,NA
2012,7.38,NA,NA,5.48,NA,1.205275390625,1.586704296875,8.10523125,NA,3.45369960287674,NA
2013,4.47,NA,NA,2.75,NA,1.23105882352941,1.62057254901961,8.16462901960784,NA,1.69693112577012,NA
2014,5.95,NA,NA,3.98,30.18,1.21462235294118,1.59953882352941,8.18574666666667,24.847229204139,2.48821719201417,NA
2015,7.68,NA,NA,6.75,11.72,1.06785703125,1.59304765625,6.973325390625,10.9752519831994,4.23716137650857,NA
2016,5.35,NA,NA,15.4,7.64,1.09015525291829,1.58862178988327,7.35222140077821,7.00817611028165,9.69393728455128,NA
2017,5.83,NA,NA,17.94,7.09,1.11167411764706,1.58965333333333,7.62900235294118,6.37776834726216,11.2854794336711,NA
2018,15.82,NA,NA,22.71,6.57,1.15495803921569,1.70645882352941,7.80807882352941,5.68851835038231,13.3082613461658,NA
2019,24.84,NA,NA,24.82,12.68,1.11244901960784,1.69983019607843,7.73549137254902,11.398275135763,14.6014584617102,NA
2020,24.76,NA,NA,30.83,25.5,1.07052295719844,1.75609455252918,7.87469727626459,23.820133728597,17.5560022981665,NA
2021,53.54,46.61,NA,49.41,48.25,1.08114651162791,1.67237906976744,7.62823062015504,44.6285489349162,29.5447371312001,6.11019806832383
2022,80.82,58.07,NA,78.97,76.49,1.0047093385214,1.65824747081712,7.07880038910506,76.1314711303151,47.6225662271546,8.2033673515325
