"year","EUR","CHN","US","NWZ","CHE"
1989,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA
2005,21.56,NA,NA,NA,NA
2006,18.01,NA,NA,NA,NA
2007,0.72,NA,NA,NA,NA
2008,17.38,NA,NA,NA,NA
2009,13.15,NA,NA,20,NA
2010,14.34,NA,NA,19.61,NA
2011,12.94,NA,NA,16.93,NA
2012,7.38,NA,NA,5.48,NA
2013,4.47,NA,NA,2.75,NA
2014,5.95,NA,NA,3.98,30.18
2015,7.68,NA,NA,6.75,11.72
2016,5.35,NA,NA,15.4,7.64
2017,5.83,NA,NA,17.94,7.09
2018,15.82,NA,NA,22.71,6.57
2019,24.84,NA,NA,24.82,12.68
2020,24.76,NA,NA,30.83,25.5
2021,53.54,46.61,NA,49.41,48.25
2022,80.82,58.07,NA,78.97,76.49
