Year,Mean,Std,Percentage within 1 std
2000,42469.3556,43981.7318,86.6667
2001,44119.6844,44425.7303,84.4444
2002,45032.5378,46030.6871,84.4444
2003,53796.0467,54196.3138,86.6667
2004,68004.6133,68188.8263,86.6667
2005,85476.3978,85286.4001,84.4444
2006,106992.3067,109194.8568,84.4444
2007,142202.0244,143463.6708,84.4444
2008,177979.9311,183201.2944,84.4444
2009,190442.9111,196675.3401,84.4444
2010,215123.9622,223291.7868,84.4444
2011,279189.3733,284562.371,84.4444
2012,329793.3178,334047.2,84.4444
2013,378010.2933,390007.6996,84.4444
2014,419455.0867,431645.2057,84.4444
2015,454169.6422,471550.9972,84.4444
2016,415320.0267,439057.1628,86.6667
2017,425488.2067,455041.4753,84.4444
2018,471005.9022,494668.6718,84.4444
2019,486131.9933,514477.7898,86.6667
