,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.870,<0.001,0.895,<0.001,-0.693,0.004,-0.010,0.978
1,C19,0.865,<0.001,0.753,<0.001,-0.890,<0.001,0.434,0.056
2,C24,0.760,<0.001,0.693,0.003,-0.536,0.016,0.002,0.982
3,C23,0.583,0.007,0.499,0.028,-0.342,0.154,-0.322,0.176
4,B05_06,0.855,<0.001,0.875,<0.001,-0.581,0.008,-0.556,0.012
5,C20,0.773,<0.001,0.828,<0.001,-0.705,0.001,-0.214,0.372
6,H49,0.783,<0.001,0.713,<0.001,-0.077,0.963,-0.588,0.009
7,F,0.626,0.004,0.810,<0.001,-0.880,<0.001,-0.302,0.200
8,B07_08,0.753,<0.001,0.728,<0.001,-0.690,0.001,0.077,0.747
9,H50,0.785,<0.001,0.523,0.024,-0.659,0.004,-0.671,0.002
10,H51,0.730,<0.001,0.543,0.017,-0.578,0.013,-0.434,0.054
11,E,0.823,<0.001,0.795,<0.001,-0.815,<0.001,-0.007,0.987
