Year,Mean,Std,Percentage within 1 std
2000,144.164,161.806,84.444
2001,161.218,180.154,84.444
2002,187.360,211.129,86.667
2003,243.644,265.828,86.667
2004,304.327,332.779,86.667
2005,350.044,388.862,86.667
2006,412.362,461.792,86.667
2007,522.856,593.939,88.889
2008,577.602,613.116,86.667
2009,422.153,433.071,91.111
2010,472.829,443.843,77.778
2011,610.291,585.218,80.000
2012,599.887,594.667,80.000
2013,657.711,649.962,80.000
2014,670.098,660.869,80.000
2015,551.102,541.587,80.000
2016,582.696,569.225,82.222
2017,652.362,645.163,82.222
2018,751.420,749.691,84.444
2019,750.331,737.847,77.778
