Year,Mean,Std,Percentage within 1 std
2000,2689.456,2843.606,86.667
2001,2602.989,2599.801,82.222
2002,2784.102,2714.270,80.000
2003,3414.153,3228.983,80.000
2004,3999.633,3831.071,80.000
2005,4304.091,4172.805,80.000
2006,4820.707,4624.677,80.000
2007,5662.471,5527.661,80.000
2008,6471.267,6282.723,82.222
2009,5286.969,5016.206,77.778
2010,5465.340,5064.560,77.778
2011,6287.891,5708.970,77.778
2012,5911.273,5313.128,75.556
2013,6023.918,5331.693,75.556
2014,6028.880,5217.120,75.556
2015,4957.938,4389.263,77.778
2016,5049.564,4535.627,77.778
2017,5472.100,4907.549,77.778
2018,6085.940,5484.886,77.778
2019,5822.498,5268.874,77.778
