Year,First-Order Degree β,First-Order Degree R²,Second-Order Degree ζ,Second-Order Degree R²
2000,2.3376,0.9789,17.1722,0.9345
2001,2.3512,0.9798,17.4781,0.8034
2002,2.2686,0.9799,14.163,0.9504
2003,2.2462,0.9631,15.2626,0.8949
2004,2.3406,0.9558,17.9979,0.9053
2005,2.2533,0.9485,12.887,0.9737
2006,2.3186,0.948,18.3195,0.9395
2007,2.2607,0.9583,19.4842,0.9116
2008,2.2627,0.9727,8.014,0.9785
2009,2.3211,0.975,7.691,0.9508
2010,2.5388,0.985,9.3987,0.9739
2011,2.4791,0.9848,8.6985,0.9811
2012,2.4957,0.9881,9.7461,0.971
2013,2.4787,0.9823,9.1744,0.9819
2014,2.4721,0.9588,10.3278,0.9857
2015,2.3019,0.9308,13.3879,0.955
2016,2.3398,0.9398,12.8372,0.9741
2017,2.4947,0.9644,16.1902,0.9635
2018,2.5797,0.9527,12.0206,0.9713
2019,2.521,0.9332,12.1861,0.893
