,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.210,0.381,0.299,0.198,,<0.001,0.048,0.860
1,C19,-0.279,0.219,-0.253,0.280,,<0.001,-0.766,<0.001
2,C24,-0.109,0.643,-0.140,0.541,,<0.001,-0.742,<0.001
3,C23,-0.252,0.298,-0.180,0.461,-0.269,0.632,-0.783,<0.001
4,B05_06,-0.773,<0.001,-0.173,0.488,0.441,0.054,-0.781,<0.001
5,C20,-0.170,0.475,-0.099,0.679,,<0.001,-0.811,<0.001
6,H49,0.307,0.181,0.371,0.119,,<0.001,-0.597,0.007
7,F,0.070,0.756,0.165,0.495,,<0.001,-0.750,<0.001
8,B07_08,-0.282,0.225,-0.347,0.131,0.428,0.057,-0.787,<0.001
9,H50,0.490,0.038,-0.300,0.201,-0.214,0.965,0.694,0.002
10,H51,-0.204,0.405,0.139,0.557,,<0.001,-0.800,<0.001
11,E,0.027,0.883,0.158,0.497,,<0.001,-0.685,0.001
