Year,Mean,Std,Percentage within 1 std
2000,25297.611,24102.638,80.000
2001,25800.936,24930.370,82.222
2002,27522.356,27419.836,84.444
2003,33093.031,33409.219,88.889
2004,38238.420,39529.945,88.889
2005,40478.322,41716.796,88.889
2006,43678.964,45018.136,88.889
2007,50271.269,52366.503,88.889
2008,55900.202,58407.884,88.889
2009,48878.709,52344.532,88.889
2010,49565.531,52371.645,88.889
2011,54838.473,57720.313,88.889
2012,51517.227,54899.355,88.889
2013,53123.376,57717.558,88.889
2014,53527.929,58692.882,88.889
2015,44918.280,49713.107,88.889
2016,44942.653,50422.336,88.889
2017,48561.838,54248.844,88.889
2018,52815.998,58446.536,88.889
2019,50858.536,56825.869,88.889
