Year,Mean,Std,Percentage within 1 std
2000,37018.336,33953.348,77.778
2001,36967.213,33721.951,75.556
2002,38228.380,35053.422,73.333
2003,47123.680,42951.193,73.333
2004,53948.547,49551.764,77.778
2005,56857.744,51656.396,73.333
2006,61404.864,55594.846,73.333
2007,71731.013,64860.444,73.333
2008,80915.389,72649.290,73.333
2009,69499.058,60950.414,71.111
2010,71707.169,63275.246,73.333
2011,82068.304,72781.939,73.333
2012,75608.982,67003.967,73.333
2013,77943.284,67707.549,73.333
2014,80034.524,70910.590,73.333
2015,68360.887,61407.196,73.333
2016,69821.633,63076.875,73.333
2017,74995.002,67338.854,73.333
2018,81981.011,73054.475,73.333
2019,79534.991,70509.674,73.333
