Year,Mean,Std,Percentage within 1 std
2000,13116.0978,15241.6273,86.6667
2001,13627.6289,15783.1785,86.6667
2002,14236.5711,16214.551,86.6667
2003,16482.0889,18966.298,88.8889
2004,19855.4911,24293.2418,88.8889
2005,23593.98,29248.5718,88.8889
2006,26900.4778,33733.6036,88.8889
2007,33978.5489,43424.0167,88.8889
2008,37385.7422,47968.1257,88.8889
2009,38904.28,49366.2807,88.8889
2010,48378.4556,60513.2701,88.8889
2011,45254.2067,59400.1401,91.1111
2012,41613.5178,54382.133,91.1111
2013,42246.4578,54144.583,88.8889
2014,44270.96,53398.6283,88.8889
2015,42167.1378,47316.1143,86.6667
2016,42392.2978,47313.3181,86.6667
2017,47131.7622,54908.5379,88.8889
2018,52073.8156,61363.1992,88.8889
2019,53389.1644,61433.6643,88.8889
