Year,Mean,Std,Percentage within 1 std
2000,185.156,244.481,88.889
2001,190.013,243.751,86.667
2002,208.567,266.010,82.222
2003,266.851,347.283,84.444
2004,339.547,462.884,86.667
2005,402.862,570.301,86.667
2006,543.496,806.707,88.889
2007,734.033,1170.252,91.111
2008,848.064,1380.208,91.111
2009,609.004,853.768,88.889
2010,612.218,803.707,82.222
2011,740.656,978.941,82.222
2012,730.336,953.480,84.444
2013,771.720,1032.002,82.222
2014,751.138,1046.430,82.222
2015,608.947,828.692,84.444
2016,572.318,708.948,84.444
2017,636.789,820.188,84.444
2018,723.038,971.425,86.667
2019,703.344,922.580,86.667
