Year,Mean,Std,Percentage within 1 std
2000,1369.444,1713.226,88.889
2001,1333.349,1728.453,88.889
2002,1460.307,1821.091,88.889
2003,1845.493,2322.639,88.889
2004,2302.316,2876.022,88.889
2005,2662.916,3329.479,88.889
2006,2657.762,3318.704,88.889
2007,3116.420,4038.153,88.889
2008,3217.167,4010.857,88.889
2009,2851.142,3633.300,88.889
2010,3172.727,4114.271,88.889
2011,3691.116,4723.211,88.889
2012,3958.529,5137.460,88.889
2013,4233.816,5838.014,88.889
2014,4398.002,5898.220,88.889
2015,3938.673,5350.559,88.889
2016,3965.784,5586.339,88.889
2017,4327.176,6199.923,88.889
2018,4595.960,6541.363,88.889
2019,4622.871,6573.036,88.889
