,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,-0.311,0.166,-0.338,0.145,0.192,0.416,-0.179,0.438
1,C19,-0.435,0.052,-0.338,0.149,0.189,0.444,-0.146,0.524
2,C24,-0.421,0.066,-0.397,0.076,0.347,0.142,-0.195,0.407
3,C23,-0.140,0.556,-0.170,0.476,,<0.001,-0.189,0.435
4,B05_06,-0.254,0.281,-0.226,0.334,,<0.001,-0.141,0.577
5,C20,-0.535,0.016,-0.568,0.008,,<0.001,-0.168,0.485
6,H49,-0.278,0.234,-0.211,0.364,,<0.001,-0.162,0.513
7,F,0.072,0.761,0.015,0.936,,<0.001,0.227,0.346
8,B07_08,-0.253,0.283,-0.290,0.222,,<0.001,-0.212,0.356
9,H50,-0.284,0.225,-0.586,0.007,,<0.001,-0.194,0.424
10,H51,0.105,0.679,-0.295,0.204,0.254,0.278,-0.156,0.510
11,E,-0.093,0.693,-0.158,0.498,,<0.001,-0.683,0.001
