Year,Mean,Std,Percentage within 1 std
2000,2666.973,2474.285,88.889
2001,2767.007,2578.964,84.444
2002,3145.027,3018.112,86.667
2003,3631.324,3570.513,84.444
2004,4100.533,4109.060,88.889
2005,4703.898,4735.408,86.667
2006,5387.864,5353.255,86.667
2007,6678.411,6723.880,88.889
2008,7601.736,7784.108,88.889
2009,6381.922,6236.839,84.444
2010,7012.042,6742.701,84.444
2011,7913.047,7869.994,84.444
2012,8031.256,8324.456,88.889
2013,8333.213,8631.428,86.667
2014,8197.011,8489.438,86.667
2015,6503.087,6946.458,88.889
2016,6207.527,7204.302,88.889
2017,6569.987,7590.920,88.889
2018,7192.598,8263.317,88.889
2019,7036.898,7952.416,88.889
