,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.475,0.040,0.547,0.012,,<0.001,0.505,0.025
1,C19,0.626,0.004,0.583,0.008,,<0.001,-0.325,0.163
2,C24,0.750,<0.001,0.814,<0.001,-0.298,0.302,-0.062,0.795
3,C23,0.802,<0.001,0.744,<0.001,,<0.001,-0.275,0.234
4,B05_06,0.498,0.028,0.653,0.002,0.132,0.591,-0.814,<0.001
5,C20,0.647,0.003,0.707,0.002,,<0.001,-0.511,0.028
6,H49,0.827,<0.001,0.817,<0.001,-0.430,0.054,-0.039,0.865
7,F,0.705,0.001,0.698,0.001,,<0.001,0.629,0.004
8,B07_08,0.641,0.004,0.576,0.008,-0.651,0.002,0.259,0.281
9,H50,0.286,0.230,0.534,0.016,-0.003,1.000,-0.659,0.002
10,H51,0.753,<0.001,0.720,<0.001,-0.423,0.071,0.352,0.121
11,E,0.750,<0.001,0.771,<0.001,-0.714,0.001,0.832,<0.001
