Year,Mean,Std,Percentage within 1 std
2000,3887.1022,4708.9103,91.1111
2001,4368.7289,5296.286,91.1111
2002,4464.6978,5407.2268,91.1111
2003,4965.0244,5621.8979,93.3333
2004,6134.6467,6847.8001,91.1111
2005,7249.3222,8098.2312,91.1111
2006,8482.7578,9281.2922,91.1111
2007,10866.9133,12160.1778,91.1111
2008,13516.8511,15239.4457,93.3333
2009,10283.8956,11667.614,93.3333
2010,11537.2978,13002.5752,91.1111
2011,13103.2511,14708.3753,91.1111
2012,12193.7756,13272.2438,91.1111
2013,12623.4911,13698.5305,91.1111
2014,12841.2044,13843.651,91.1111
2015,11338.4044,12181.4736,91.1111
2016,11216.2044,11977.4627,91.1111
2017,12784.0622,13257.1184,91.1111
2018,14584.4311,15161.2537,88.8889
2019,14805.1978,15972.2879,88.8889
