Year,Mean,Std,Percentage within 1 std
2000,12357.980,13656.286,88.889
2001,13043.178,14903.501,91.111
2002,15154.991,19794.213,91.111
2003,19478.518,27035.232,91.111
2004,23406.873,32657.972,93.333
2005,26176.291,38525.251,93.333
2006,29561.320,44917.871,93.333
2007,34543.104,49615.176,93.333
2008,36722.198,45932.224,93.333
2009,29822.727,36461.967,93.333
2010,28062.893,29346.513,88.889
2011,29360.771,29123.468,86.667
2012,26046.242,25588.618,82.222
2013,26091.478,25939.615,82.222
2014,26721.329,26721.501,86.667
2015,22582.602,22686.514,86.667
2016,22471.989,22903.377,88.889
2017,24420.216,24723.894,88.889
2018,27128.680,27073.787,86.667
2019,26860.207,26768.378,84.444
