,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.854,<0.001,0.546,0.017,-0.333,0.158,0.874,<0.001
1,C19,0.729,<0.001,0.714,0.002,-0.506,0.029,0.681,0.002
2,C24,0.343,0.143,0.388,0.097,,<0.001,-0.517,0.019
3,C23,0.844,<0.001,0.823,<0.001,-0.250,0.276,0.756,<0.001
4,B05_06,0.773,<0.001,0.674,0.002,-0.729,0.001,0.611,0.005
5,C20,0.098,0.676,0.329,0.163,,<0.001,-0.857,<0.001
6,H49,0.844,<0.001,0.800,<0.001,-0.060,0.893,0.803,<0.001
7,F,0.821,<0.001,0.832,<0.001,,<0.001,0.668,0.002
8,B07_08,0.908,<0.001,0.744,<0.001,-0.274,0.242,0.883,<0.001
9,H50,0.304,0.197,0.350,0.140,-0.287,0.213,-0.686,<0.001
10,H51,0.338,0.149,0.140,0.556,-0.289,0.199,-0.665,0.002
11,E,0.860,<0.001,0.884,<0.001,-0.217,0.365,0.848,<0.001
