Year,Mean,Std,Percentage within 1 std
2000,5382.9267,4257.428,71.1111
2001,5002.66,3948.6872,68.8889
2002,5322.6889,4247.6651,68.8889
2003,6566.3711,5218.0626,71.1111
2004,7730.2711,6346.3559,68.8889
2005,8169.4089,6724.8501,68.8889
2006,8965.8956,7204.8995,68.8889
2007,10551.8778,8659.1062,66.6667
2008,11449.4333,9219.1874,66.6667
2009,9021.6378,7287.3114,71.1111
2010,10152.5889,8242.0488,73.3333
2011,11964.9178,10030.2783,73.3333
2012,11535.8622,9772.3647,73.3333
2013,11899.6067,10297.0051,75.5556
2014,11702.0822,10150.9807,75.5556
2015,9823.5978,8934.5915,77.7778
2016,9978.92,9225.6592,80.0
2017,10736.6578,9986.6257,80.0
2018,11415.48,10761.0837,80.0
2019,10680.9222,10032.4231,80.0
