Year,Mean,Std,Percentage within 1 std
2000,6223.6711,7129.133,84.4444
2001,6315.1511,7219.5731,84.4444
2002,6990.7622,7926.131,84.4444
2003,8071.4067,9121.6404,82.2222
2004,9210.0978,10389.0298,84.4444
2005,9557.3822,10879.6336,84.4444
2006,10159.5022,11544.3575,84.4444
2007,11446.9133,13009.9136,84.4444
2008,13527.5933,15209.0258,84.4444
2009,13083.5822,14768.1523,84.4444
2010,13963.8956,15812.8849,84.4444
2011,16498.0222,19240.7025,84.4444
2012,16225.82,18629.6769,84.4444
2013,16743.2467,19112.8815,84.4444
2014,16960.42,19653.2725,84.4444
2015,15955.1889,19008.5548,84.4444
2016,15763.4289,18712.0376,84.4444
2017,16316.2867,19584.7855,86.6667
2018,17441.7489,20963.9208,84.4444
2019,17407.2,21060.6368,86.6667
